_id,year,month,date,time,location,indicator,unit,value,note
1008,2023,January,01-01-2023,04:00,MALAKPET,NOx,ppb,15.02,
1009,2023,January,01-01-2023,04:00,MALAKPET,CO,mg/m3,0.44,
1010,2023,January,01-01-2023,04:00,MALAKPET,SO2,ug/m3,9.87,
1011,2023,January,01-01-2023,04:00,MALAKPET,PM2.5,ug/m3,46.9,
1012,2023,January,01-01-2023,04:00,MALAKPET,PM10,ug/m3,73.31,
1013,2023,January,01-01-2023,04:00,MALAKPET,WD,DEGREE,150.14,
1014,2023,January,01-01-2023,04:00,MALAKPET,WS,m/s,0.09,
1240,2023,January,01-01-2023,05:00,MALAKPET,PM2.5,ug/m3,42.69,
1241,2023,January,01-01-2023,05:00,MALAKPET,SO2,ug/m3,9.94,
1242,2023,January,01-01-2023,05:00,MALAKPET,PM10,ug/m3,69.85,
1243,2023,January,01-01-2023,05:00,MALAKPET,MP-Xylene,ug/m3,4.91,
1244,2023,January,01-01-2023,05:00,MALAKPET,ETHBENZ,ug/m3,3.58,
1245,2023,January,01-01-2023,05:00,MALAKPET,Toluene,ug/m3,1.62,
1246,2023,January,01-01-2023,05:00,MALAKPET,RH,%,64.25,
1247,2023,January,01-01-2023,05:00,MALAKPET,WS,m/s,0.09,
1248,2023,January,01-01-2023,05:00,MALAKPET,Xylene,ug/m3,3.26,
1249,2023,January,01-01-2023,05:00,MALAKPET,SR,W/m2,0,
1250,2023,January,01-01-2023,05:00,MALAKPET,Temp,degreC,24.02,
1251,2023,January,01-01-2023,05:00,MALAKPET,Benzene,ug/m3,0.97,
1252,2023,January,01-01-2023,05:00,MALAKPET,NO,ug/m3,9.31,
1253,2023,January,01-01-2023,05:00,MALAKPET,WD,DEGREE,159.07,
1254,2023,January,01-01-2023,05:00,MALAKPET,NOx,ppb,14.63,
1255,2023,January,01-01-2023,05:00,MALAKPET,CO,mg/m3,0.46,
1256,2023,January,01-01-2023,05:00,MALAKPET,Ozone,ug/m3,5.26,
1257,2023,January,01-01-2023,05:00,MALAKPET,NH3,ug/m3,11.29,
1258,2023,January,01-01-2023,05:00,MALAKPET,NO2,ug/m3,5.35,
1484,2023,January,01-01-2023,06:00,MALAKPET,SR,W/m2,0,
1485,2023,January,01-01-2023,06:00,MALAKPET,MP-Xylene,ug/m3,4.96,
1486,2023,January,01-01-2023,06:00,MALAKPET,Benzene,ug/m3,0.97,
1487,2023,January,01-01-2023,06:00,MALAKPET,Xylene,ug/m3,3.2,
1488,2023,January,01-01-2023,06:00,MALAKPET,ETHBENZ,ug/m3,3.6,
1489,2023,January,01-01-2023,06:00,MALAKPET,Toluene,ug/m3,1.66,
1490,2023,January,01-01-2023,06:00,MALAKPET,PM10,ug/m3,67.71,
1491,2023,January,01-01-2023,06:00,MALAKPET,PM2.5,ug/m3,39.74,
1492,2023,January,01-01-2023,06:00,MALAKPET,SO2,ug/m3,9.96,
1493,2023,January,01-01-2023,06:00,MALAKPET,CO,mg/m3,0.53,
1494,2023,January,01-01-2023,06:00,MALAKPET,Ozone,ug/m3,10.24,
1495,2023,January,01-01-2023,06:00,MALAKPET,NH3,ug/m3,11.08,
1496,2023,January,01-01-2023,06:00,MALAKPET,NO2,ug/m3,5.4,
1497,2023,January,01-01-2023,06:00,MALAKPET,NO,ug/m3,9.3,
1498,2023,January,01-01-2023,06:00,MALAKPET,NOx,ppb,14.88,
1499,2023,January,01-01-2023,06:00,MALAKPET,WS,m/s,0.09,
1500,2023,January,01-01-2023,06:00,MALAKPET,WD,DEGREE,140.03,
1501,2023,January,01-01-2023,06:00,MALAKPET,RH,%,63.68,
1502,2023,January,01-01-2023,06:00,MALAKPET,Temp,degreC,23.28,
1728,2023,January,01-01-2023,07:00,MALAKPET,WD,DEGREE,119.51,
1729,2023,January,01-01-2023,07:00,MALAKPET,Xylene,ug/m3,3.33,
1730,2023,January,01-01-2023,07:00,MALAKPET,SR,W/m2,0,
1731,2023,January,01-01-2023,07:00,MALAKPET,RH,%,61.73,
1732,2023,January,01-01-2023,07:00,MALAKPET,Temp,degreC,23.2,
1733,2023,January,01-01-2023,07:00,MALAKPET,NO2,ug/m3,5.48,
1734,2023,January,01-01-2023,07:00,MALAKPET,NH3,ug/m3,11.55,
1735,2023,January,01-01-2023,07:00,MALAKPET,Ozone,ug/m3,13.49,
1736,2023,January,01-01-2023,07:00,MALAKPET,Benzene,ug/m3,1.02,
1737,2023,January,01-01-2023,07:00,MALAKPET,Toluene,ug/m3,1.67,
1738,2023,January,01-01-2023,07:00,MALAKPET,ETHBENZ,ug/m3,3.65,
1739,2023,January,01-01-2023,07:00,MALAKPET,MP-Xylene,ug/m3,5.01,
1740,2023,January,01-01-2023,07:00,MALAKPET,WS,m/s,0.09,
1741,2023,January,01-01-2023,07:00,MALAKPET,NO,ug/m3,9.55,
1742,2023,January,01-01-2023,07:00,MALAKPET,PM10,ug/m3,67.04,
1743,2023,January,01-01-2023,07:00,MALAKPET,SO2,ug/m3,9.89,
1744,2023,January,01-01-2023,07:00,MALAKPET,CO,mg/m3,0.56,
1745,2023,January,01-01-2023,07:00,MALAKPET,PM2.5,ug/m3,38.12,
1746,2023,January,01-01-2023,07:00,MALAKPET,NOx,ppb,14.92,
1972,2023,January,01-01-2023,08:00,MALAKPET,MP-Xylene,ug/m3,4.98,
1973,2023,January,01-01-2023,08:00,MALAKPET,NO,ug/m3,9.3,
1974,2023,January,01-01-2023,08:00,MALAKPET,Toluene,ug/m3,1.67,
1975,2023,January,01-01-2023,08:00,MALAKPET,PM2.5,ug/m3,41.51,
1976,2023,January,01-01-2023,08:00,MALAKPET,ETHBENZ,ug/m3,3.64,
1977,2023,January,01-01-2023,08:00,MALAKPET,SO2,ug/m3,9.99,
1978,2023,January,01-01-2023,08:00,MALAKPET,Temp,degreC,22.63,
1979,2023,January,01-01-2023,08:00,MALAKPET,WS,m/s,0.08,
1980,2023,January,01-01-2023,08:00,MALAKPET,WD,DEGREE,113.4,
1981,2023,January,01-01-2023,08:00,MALAKPET,RH,%,61.24,
1982,2023,January,01-01-2023,08:00,MALAKPET,Xylene,ug/m3,3.27,
1983,2023,January,01-01-2023,08:00,MALAKPET,CO,mg/m3,0.64,
1984,2023,January,01-01-2023,08:00,MALAKPET,SR,W/m2,0.5,
1985,2023,January,01-01-2023,08:00,MALAKPET,NH3,ug/m3,11.33,
1986,2023,January,01-01-2023,08:00,MALAKPET,Ozone,ug/m3,15.24,
1987,2023,January,01-01-2023,08:00,MALAKPET,NO2,ug/m3,5.46,
1988,2023,January,01-01-2023,08:00,MALAKPET,NOx,ppb,14.92,
1989,2023,January,01-01-2023,08:00,MALAKPET,PM10,ug/m3,69.24,
1990,2023,January,01-01-2023,08:00,MALAKPET,Benzene,ug/m3,0.97,
2216,2023,January,01-01-2023,09:00,MALAKPET,SO2,ug/m3,9.76,
2217,2023,January,01-01-2023,09:00,MALAKPET,WD,DEGREE,88.05,
2218,2023,January,01-01-2023,09:00,MALAKPET,WS,m/s,0.07,
2219,2023,January,01-01-2023,09:00,MALAKPET,PM2.5,ug/m3,52.68,
2220,2023,January,01-01-2023,09:00,MALAKPET,PM10,ug/m3,69.44,
2221,2023,January,01-01-2023,09:00,MALAKPET,Xylene,ug/m3,3.29,
2222,2023,January,01-01-2023,09:00,MALAKPET,CO,mg/m3,0.68,
2223,2023,January,01-01-2023,09:00,MALAKPET,NH3,ug/m3,11.4,
2224,2023,January,01-01-2023,09:00,MALAKPET,Temp,degreC,22.86,
2225,2023,January,01-01-2023,09:00,MALAKPET,Toluene,ug/m3,1.62,
2226,2023,January,01-01-2023,09:00,MALAKPET,Benzene,ug/m3,0.99,
2227,2023,January,01-01-2023,09:00,MALAKPET,NOx,ppb,14.63,
2228,2023,January,01-01-2023,09:00,MALAKPET,SR,W/m2,61.1,
2229,2023,January,01-01-2023,09:00,MALAKPET,Ozone,ug/m3,15.37,
2230,2023,January,01-01-2023,09:00,MALAKPET,NO2,ug/m3,5.49,
2231,2023,January,01-01-2023,09:00,MALAKPET,RH,%,56.19,
2232,2023,January,01-01-2023,09:00,MALAKPET,NO,ug/m3,9.42,
2233,2023,January,01-01-2023,09:00,MALAKPET,ETHBENZ,ug/m3,3.65,
2234,2023,January,01-01-2023,09:00,MALAKPET,MP-Xylene,ug/m3,5.01,
2460,2023,January,01-01-2023,10:00,MALAKPET,PM2.5,ug/m3,53.5,
2461,2023,January,01-01-2023,10:00,MALAKPET,MP-Xylene,ug/m3,4.96,
2462,2023,January,01-01-2023,10:00,MALAKPET,ETHBENZ,ug/m3,3.66,
2463,2023,January,01-01-2023,10:00,MALAKPET,Toluene,ug/m3,1.63,
2464,2023,January,01-01-2023,10:00,MALAKPET,NO2,ug/m3,5.49,
2465,2023,January,01-01-2023,10:00,MALAKPET,NO,ug/m3,9.27,
2466,2023,January,01-01-2023,10:00,MALAKPET,Benzene,ug/m3,0.96,
2467,2023,January,01-01-2023,10:00,MALAKPET,PM10,ug/m3,72.75,
2468,2023,January,01-01-2023,10:00,MALAKPET,NOx,ppb,14.67,
